mode,start_station_id,start_station_name,trips,start_trips,end_trips,touchpoints,station_lat,station_lng,year_min,year_max,years_count,months_count,first_month,last_month,observation_months,data_quality,crashes_within_500m,crashes_within_500m_per_100k_trips,risk_proxy_available
nyc,2497.07,3 Ave & 81 St,709,340,369,709,40.627,-74.02948000000002,2025,2025,1,3,10,12,3,lifetime_aggregate,448,63187.588152327226,1
nyc,250,Lafayette St & Jersey St,42714,21395,21319,42714,40.72456089,-73.99565293,2019,2019,1,4,9,12,4,lifetime_aggregate,1802,4218.757316102449,1
nyc,250.0,Lafayette St & Jersey St,4903,2503,2400,4903,40.72456089,-73.99565293,2019,2019,1,1,8,8,1,lifetime_aggregate,1802,36753.00836222721,1
nyc,2506.10,83 St & Narrows Ave,496,244,252,496,40.62757,-74.03838,2025,2025,1,3,10,12,3,lifetime_aggregate,140,28225.806451612905,1
nyc,2506.11,Colonial Rd & 83 St,628,310,318,628,40.62691,-74.03564,2025,2025,1,3,10,12,3,lifetime_aggregate,212,33757.96178343949,1
nyc,251,Mott St & Prince St,68286,34016,34270,68286,40.723179432474126,-73.99480014499828,2019,2019,1,7,4,12,9,lifetime_aggregate,1939,2839.527868084234,1
nyc,251.0,Mott St & Prince St,42145,20996,21149,42145,40.72317958,-73.99480012,2019,2019,1,5,1,8,8,lifetime_aggregate,1939,4600.783011033337,1
nyc,252,MacDougal St & Washington Sq,54899,27135,27764,54899,40.732263980000006,-73.99852205,2019,2019,1,7,4,12,9,lifetime_aggregate,1003,1826.9913841782181,1
nyc,252.0,MacDougal St & Washington Sq,30719,15296,15423,30719,40.73226398,-73.99852205,2019,2019,1,5,1,8,8,lifetime_aggregate,1003,3265.08024349751,1
nyc,2533.04,79 St & 5 Ave,719,348,371,719,40.62646,-74.02367,2025,2025,1,3,10,12,3,lifetime_aggregate,599,83310.15299026425,1
nyc,254,W 11 St & 6 Ave,62055,31074,30981,62055,40.73532427,-73.99800419,2019,2019,1,7,4,12,9,lifetime_aggregate,1100,1772.6210619611636,1
nyc,254.0,W 11 St & 6 Ave,35476,17801,17675,35476,40.73532427,-73.99800419,2019,2019,1,5,1,8,8,lifetime_aggregate,1100,3100.6877889277257,1
nyc,2569.07,6 Ave & 74 St,159,74,85,159,40.629233,-74.019864,2025,2025,1,2,11,12,2,lifetime_aggregate,662,416352.2012578617,1
nyc,257,Lispenard St & Broadway,61571,30585,30986,61571,40.71939226,-74.00247214,2019,2019,1,7,4,12,9,lifetime_aggregate,2034,3303.503272644589,1
nyc,257.0,Lispenard St & Broadway,36134,17965,18169,36134,40.71939226,-74.00247214,2019,2019,1,5,1,8,8,lifetime_aggregate,2034,5629.047434549178,1
nyc,2578.16,3 Ave & 77 St,1431,706,725,1431,40.62991,-74.02834,2025,2025,1,3,10,12,3,lifetime_aggregate,493,34451.43256464011,1
nyc,2578.17,4 Ave & 76 St,444,219,225,444,40.63005,-74.0255,2025,2025,1,2,11,12,2,lifetime_aggregate,582,131081.08108108107,1
nyc,258,DeKalb Ave & Vanderbilt Ave,21202,11011,10191,21202,40.68940747,-73.96885458,2019,2019,1,7,4,12,9,lifetime_aggregate,722,3405.3391189510426,1
nyc,258.0,DeKalb Ave & Vanderbilt Ave,13471,7156,6315,13471,40.68940747,-73.96885458,2019,2019,1,5,1,8,8,lifetime_aggregate,722,5359.661495063469,1
nyc,259,South St & Whitehall St,37689,18405,19284,37689,40.70122127999999,-74.01234218,2019,2019,1,7,4,12,9,lifetime_aggregate,385,1021.5182148637534,1
nyc,259.0,South St & Whitehall St,24161,11684,12477,24161,40.70122128,-74.01234218,2019,2019,1,5,1,8,8,lifetime_aggregate,385,1593.4770911800008,1
nyc,260,Broad St & Bridge St,19995,9607,10388,19995,40.70365182,-74.01167797000001,2019,2019,1,7,4,12,9,lifetime_aggregate,778,3890.9727431857964,1
nyc,260.0,Broad St & Bridge St,11978,5701,6277,11978,40.70365181999999,-74.01167797,2019,2019,1,5,1,8,8,lifetime_aggregate,778,6495.241275672066,1
nyc,261,Johnson St & Gold St,18513,9212,9301,18513,40.69474881,-73.98362464,2019,2019,1,7,4,12,9,lifetime_aggregate,2005,10830.227407767516,1
nyc,261.0,Johnson St & Gold St,11561,5746,5815,11561,40.69474881,-73.98362464,2019,2019,1,5,1,8,8,lifetime_aggregate,2005,17342.790416053973,1
nyc,2615.05,Bay Ridge Pkwy & 5 Ave,699,340,359,699,40.62967,-74.02275,2025,2025,1,3,10,12,3,lifetime_aggregate,652,93276.1087267525,1
nyc,262,Washington Park,16338,8379,7959,16338,40.6917823,-73.9737299,2019,2019,1,7,4,12,9,lifetime_aggregate,731,4474.231852123883,1
nyc,262.0,Washington Park,10496,5459,5037,10496,40.6917823,-73.9737299,2019,2019,1,5,1,8,8,lifetime_aggregate,731,6964.557926829268,1
nyc,2625.01,78 St & Ridge Blvd,350,170,180,350,40.62994,-74.03121,2025,2025,1,3,10,12,3,lifetime_aggregate,339,96857.14285714286,1
nyc,2635.08,Shore Rd & 80 St,334,161,173,334,40.63074,-74.03962,2025,2025,1,3,10,12,3,lifetime_aggregate,107,32035.92814371258,1
nyc,264,Maiden Ln & Pearl St,30416,15001,15415,30416,40.70706456,-74.00731853,2019,2019,1,7,4,12,9,lifetime_aggregate,1050,3452.130457653867,1
nyc,264.0,Maiden Ln & Pearl St,19278,9451,9827,19278,40.70706456,-74.00731853,2019,2019,1,5,1,8,8,lifetime_aggregate,1050,5446.623093681917,1
