mode,year,month,start_station_id,start_station_name,start_trips,end_trips,station_lat,station_lng,touchpoints,trips
nyc,2019,1,3226,W 82 St & Central Park West,1278,907,40.78275,-73.97137,2185,2185
nyc,2019,1,323,Lawrence St & Willoughby St,1321,1306,40.69236178,-73.98631746,2627,2627
nyc,2019,1,3231,E 67 St & Park Ave,555,565,40.76780080148132,-73.96592080593109,1120,1120
nyc,2019,1,3232,Bond St & Fulton St,1062,1569,40.68962188790333,-73.98304268717766,2631,2631
nyc,2019,1,3233,E 48 St & 5 Ave,3527,3523,40.75724567911726,-73.97805914282799,7050,7050
nyc,2019,1,3235,E 41 St & Madison Ave,2992,2991,40.752165280621966,-73.97992193698882,5983,5983
nyc,2019,1,3236,W 42 St & Dyer Ave,2783,2687,40.75898481399634,-73.99379968643188,5470,5470
nyc,2019,1,324,DeKalb Ave & Hudson Ave,1364,2322,40.689888,-73.981013,3686,3686
nyc,2019,1,3240,NYCBS Depot BAL - DYR,0,1,40.759030082196055,-73.99385869503021,1,1
nyc,2019,1,3241,Monroe St & Tompkins Ave,511,435,40.686203,-73.944694,946,946
nyc,2019,1,3242,Schermerhorn St & Court St,1095,1074,40.69102925677968,-73.99183362722397,2169,2169
nyc,2019,1,3243,E 58 St & 1 Ave,1328,1337,40.75892386377695,-73.96226227283478,2665,2665
nyc,2019,1,3244,University Pl & E 8 St,1578,1591,40.73143724085228,-73.99490341544151,3169,3169
nyc,2019,1,3245,NYCBS DEPOT - DELANCEY,2,19,40.71644423134479,-73.9823305606842,21,21
nyc,2019,1,3249,Verona Pl & Fulton St,365,400,40.6803560840434,-73.9476791024208,765,765
nyc,2019,1,325,E 19 St & 3 Ave,2463,2441,40.73624527,-73.98473765,4904,4904
nyc,2019,1,3250,58th St Depot,5,3,40.71690978045965,-73.98383796215057,8,8
nyc,2019,1,3255,8 Ave & W 31 St,6291,6555,40.7505853470215,-73.9946848154068,12846,12846
nyc,2019,1,3256,Pier 40 - Hudson River Park,1208,1233,40.7277140777778,-74.01129573583603,2441,2441
nyc,2019,1,3258,W 27 St & 10 Ave,3066,3121,40.75018156325683,-74.00218427181244,6187,6187
nyc,2019,1,3259,9 Ave & W 28 St,2004,2061,40.74937024193277,-73.99923384189606,4065,4065
nyc,2019,1,326,E 11 St & 1 Ave,3059,3077,40.72953837,-73.98426726,6136,6136
nyc,2019,1,3260,Mercer St & Bleecker St,2439,2450,40.72706363348306,-73.99662137031554,4889,4889
nyc,2019,1,3263,Cooper Square & Astor Pl,4145,4314,40.72951496224949,-73.99075269699097,8459,8459
nyc,2019,1,327,Vesey Pl & River Terrace,2882,2903,40.7153379,-74.01658354,5785,5785
nyc,2019,1,328,Watts St & Greenwich St,1810,1810,40.724055490000005,-74.00965965,3620,3620
nyc,2019,1,3282,5 Ave & E 88 St,1625,1607,40.78307,-73.95939,3232,3232
nyc,2019,1,3283,W 89 St & Columbus Ave,1358,1059,40.7882213,-73.97041561,2417,2417
nyc,2019,1,3284,E 88 St & Park Ave,593,591,40.781410700190015,-73.95595908164978,1184,1184
nyc,2019,1,3285,W 87 St & Amsterdam Ave,1050,945,40.78839,-73.9747,1995,1995
nyc,2019,1,3286,E 89 St & 3 Ave,892,908,40.7806284,-73.9521667,1800,1800
nyc,2019,1,3288,E 88 St & 1 Ave,1128,1159,40.778301,-73.9488134,2287,2287
nyc,2019,1,3289,W 90 St & Amsterdam Ave,791,725,40.79017948095081,-73.97288918495178,1516,1516
nyc,2019,1,3290,E 89 St & York Ave,819,831,40.7779453,-73.946041,1650,1650
nyc,2019,1,3292,5 Ave & E 93 St,618,608,40.7857851,-73.957481,1226,1226
nyc,2019,1,3293,W 92 St & Broadway,988,979,40.7921,-73.9739,1967,1967
nyc,2019,1,3294,E 91 St & Park Ave,761,772,40.7835016,-73.955327,1533,1533
nyc,2019,1,3295,Central Park W & W 96 St,1348,1140,40.79127,-73.964839,2488,2488
nyc,2019,1,3296,E 93 St & 2 Ave,686,700,40.782454175279874,-73.9489196240902,1386,1386
nyc,2019,1,3297,6 St & 7 Ave,650,560,40.6686627,-73.97988067,1210,1210
nyc,2019,1,3298,Warren St & Court St,670,685,40.686371,-73.99383324,1355,1355
nyc,2019,1,3299,E 98 St & Park Ave,264,268,40.78813,-73.95206,532,532
nyc,2019,1,330,Reade St & Broadway,1447,1446,40.71450451,-74.00562789,2893,2893
nyc,2019,1,3300,Prospect Park West & 8 St,632,586,40.66514681533792,-73.97637605667114,1218,1218
nyc,2019,1,3301,Columbus Ave & W 95 St,1686,1538,40.79195570000001,-73.968087,3224,3224
nyc,2019,1,3302,Columbus Ave & W 103 St,303,303,40.7969347,-73.9643412291,606,606
nyc,2019,1,3303,Butler St & Court St,509,505,40.6849894,-73.99440329,1014,1014
nyc,2019,1,3304,6 Ave & 9 St,956,955,40.668127000000005,-73.98377641,1911,1911
nyc,2019,1,3305,E 91 St & 2 Ave,1177,1204,40.78112229934166,-73.94965589046478,2381,2381
nyc,2019,1,3306,10 St & 7 Ave,728,658,40.6662078,-73.98199886,1386,1386
nyc,2019,1,3307,West End Ave & W 94 St,725,733,40.7941654,-73.974124,1458,1458
nyc,2019,1,3308,Kane St & Clinton St,909,887,40.6861758,-73.99645294999999,1796,1796
nyc,2019,1,3309,E 97 St & 3 Ave,343,349,40.7859201,-73.94860294,692,692
nyc,2019,1,331,Pike St & Monroe St,1112,1128,40.71173107,-73.99193043,2240,2240
nyc,2019,1,3310,14 St & 7 Ave,668,584,40.663779,-73.98396846,1252,1252
